Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Yellow_Cards,Red_Cards,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Ball_Recoveries,Goals_Against,Goals_Against_per_90,Shots_On_Target_Against,Saves,Save_%,Clean_Sheets,Clean_Sheet_%,Penalty_Kicks_Allowed,Penalty_Kicks_Saved,Penalty_Kicks_Missed,Penalty_Kicks_Save_%,Free_Kick_Goals_Against,Corner_Kick_Goals_Against,Own_Goals_Against,Post-Shot_xG,Post-Shot_xG_per_Shot_on_Target,Post-Shot_xG_+/-,Post-Shot_xG_per_90,Launches_Completed,Launches_Attempted,Launches_Completion_%,Passes_Attempted(GK),Throws_Attempted,Launch_%,Average_Pass_Length,Goal_Kicks,Goal_Kicks_Launch_%,Average_Length_Goal_Kicks,Crosses_Faced,Crosses_Stopped,Crosses_Stopped_%,Actions_Outside_Penalty_Area,Actions_Outside_Penalty_Area_per_90,Defensive_Actions_Average_Distance
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,24,2000,14,14,1206,13.4,1,1,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,4,0,437,357,436,237,1238,682,21,9.0,0.67,34.0,24.0,76.5,5.0,35.7,1.0,1.0,0.0,50.0,2.0,1.0,0.0,10.0,0.0,1.0,0.11,57.0,178.0,32.0,341.0,51.0,37.5,33.0,66.0,75.8,54.0,143.0,20.0,14.0,17.0,1.27,14.0
Alisson,BRA,GK,Liverpool,Premier League,32,1992,10,10,888,9.9,0,0,269,320,84.1,5444,3327,89,89,100.0,148,150,98.7,31,78,39.7,4,0,335,238,327,225,834,480,17,8.0,0.81,26.0,18.0,69.2,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.12,19.0,60.0,31.7,293.0,38.0,18.8,24.0,26.0,19.2,24.0,78.0,3.0,3.8,17.0,1.72,16.0
Alphonse Areola,FRA,GK,West Ham,Premier League,31,1993,10,9,820,9.1,0,0,273,368,74.2,7443,5242,62,62,100.0,122,128,95.3,88,171,51.5,6,0,389,320,385,212,936,491,11,19.0,2.09,47.0,29.0,59.6,2.0,22.2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,13.0,0.0,-4.0,-0.48,63.0,138.0,45.7,278.0,41.0,33.8,31.0,86.0,51.2,39.0,142.0,8.0,5.6,12.0,1.32,14.0
Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,30,1994,14,14,1260,14.0,2,0,326,440,74.1,9449,6742,38,40,95.0,175,180,97.2,112,216,51.9,7,2,470,372,463,267,1357,765,29,18.0,1.29,68.0,50.0,75.0,4.0,28.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,2.0,0.16,74.0,167.0,44.3,343.0,52.0,33.2,33.0,96.0,55.2,42.0,166.0,9.0,5.4,24.0,1.71,15.0
Noah Atubolu,GER,GK,Freiburg,Bundesliga,22,2002,13,13,1170,13.0,0,0,483,622,77.7,12828,9041,75,76,98.7,274,278,98.6,133,266,50.0,7,2,652,489,649,375,1962,1030,36,21.0,1.62,63.0,41.0,66.7,4.0,30.8,0.0,1.0,0.0,100.0,1.0,1.0,0.0,19.0,0.0,-1.0,-0.09,70.0,190.0,36.8,568.0,71.0,27.8,31.0,53.0,60.4,47.0,187.0,16.0,8.6,18.0,1.38,13.0
Emil Audero,ITA,GK,Como,Serie A,27,1997,8,8,720,8.0,0,0,209,253,82.6,4830,3117,51,51,100.0,118,120,98.3,40,82,48.8,4,1,269,219,268,177,821,476,12,18.0,2.25,34.0,16.0,58.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,-5.0,-0.7,17.0,55.0,30.9,232.0,30.0,22.0,28.0,21.0,19.0,27.0,95.0,5.0,5.3,8.0,1.0,12.0
Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28,1996,14,14,1260,14.0,2,0,296,487,60.8,9152,6633,39,40,97.5,152,154,98.7,105,288,36.5,5,3,520,430,511,297,1556,981,13,16.0,1.14,62.0,47.0,75.8,3.0,21.4,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,0.0,0.02,75.0,247.0,30.4,388.0,50.0,47.4,40.0,96.0,65.6,52.0,211.0,18.0,8.5,7.0,0.5,11.0
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34,1990,15,15,1350,15.0,0,0,449,594,75.6,12020,8678,86,86,100.0,243,245,99.2,117,259,45.2,7,0,640,521,630,386,1621,935,28,28.0,1.87,75.0,46.0,64.0,2.0,13.3,1.0,2.0,0.0,66.7,0.0,4.0,1.0,30.0,0.0,3.0,0.23,74.0,203.0,36.5,527.0,76.0,32.1,32.0,66.0,51.5,43.0,212.0,7.0,3.3,17.0,1.13,15.0
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26,1998,3,3,270,3.0,0,0,63,92,68.5,1921,1513,7,7,100.0,32,32,100.0,24,52,46.2,2,0,99,83,99,47,265,138,0,8.0,2.67,16.0,8.0,56.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-1.0,-0.56,18.0,42.0,42.9,66.0,14.0,42.4,36.0,25.0,56.0,44.0,43.0,8.0,18.6,2.0,0.67,12.0
Marco Bizot,NED,GK,Brest,Ligue 1,33,1991,14,14,1260,14.0,1,0,324,488,66.4,10895,8550,34,35,97.1,138,139,99.3,152,314,48.4,11,0,524,461,522,290,1415,641,18,26.0,1.86,60.0,34.0,65.0,3.0,21.4,5.0,1.0,1.0,16.7,1.0,1.0,1.0,20.0,0.0,-4.0,-0.33,108.0,254.0,42.5,399.0,53.0,47.1,38.0,89.0,74.2,53.0,185.0,10.0,5.4,16.0,1.14,15.0
