Player Name,Nationality,Position,Team,Competition,Age,Year Born,Matches Played,Starts,Minutes,90s,Goals,Assists,Goals+Assists,Goals-PK,Penalty Kicks,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xAG,npxG+xAG,Progressive Carries,Progressive Passes,Progressive Passes Received,Goals per 90s,Assists per 90s,G+A per 90s,G-PK per 90s,G+A-PK per 90s,xG per 90s,xAG per 90s,xG+xAG per 90s,npxG per 90s,npxG+xAG per 90s,Shots,Shots on Target,Shots on Target Percentage,Shots per 90s,Shots on Target per 90s,Goals per Shot,Goals per Shot on Target,Average Shot Distance,Free Kicks,npxG per Shot,G-xG,npG-xG,Passes Completed,Passes Attempted,Pass Completion Percentage,Total Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Short Pass Completion Percentage,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion Percentage,Long Passes Completed,Long Passes Attempted,Long Pass Completion Percentage,Expected Assisted Goals,Expected Assists,Assists-xAG,Key Passes,Final Third Passes,Passes into Penalty Area,Crosses into Penalty Area,Pass Attempts,Live Passes,Dead Passes,Free Kick Passes,Through Balls,Switches,Crosses,Throw Ins,Corner Kicks,Corner Kicks In,Corner Kicks Out,Corner Kicks Straight,Passes Offside,Passes Blocked,SCA,SCA per 90s,SCA Pass Live,SCA Pass Dead,SCA Take Ons,SCA Shots,SCA Fouled,SCA Defense,GCA,GCA per 90s,GCA Pass Live,GCA Pass Dead,GCA Take Ons,GCA Shots,GCA Fouled,GCA Defense,Tackles,Tackles Won,Tackles Defensive 3rd,Tackles Midfield 3rd,Tackles Attacking 3rd,Dribblers Tackled,Dribblers Challenged,Dribblers Tackled Percentage,Challenges Lost,Blocks,Blocked Shots,Blocked Passes,Interceptions,Tackles + Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive 3rd,Touches Midfield 3rd,Touches Attacking 3rd,Touches Attacking Penalty Area,Touches Live Ball,Take Ons Attempted,Successful Take-Ons,Successful Take-On Percentage,Times Takled During Take-On,Tackled During Take-On Percentage,Carries,Carries Total Distance,Carries Progressive Distance,Carries Into Final 3rd,Carries Into Penalty Area,Miscontrols,Dispossessed,Passes Received,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Win Percentage,Minutes Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Penalty Kicks Save Percentage,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,Post-Shot Expected Goals per Shot on Target,PSxG-GA,PSxG-GA/90,Launches Completed,Launches Attempted,Launches Completion Percentage,Throws Attempted,Passes Launched Percentage,Average Pass Length,Goal Kicks,Goal Kicks Launch Percentage,Goal Kicks Average Length,Crosses Faced,Crosses Stopped,Crosses Stopped Percentage,Defensive Action Outside Penalty Area,Defensive Action Outside Penalty Area/90,Average Distance of Defensive Action
Max Aarons,ENG,DF,Bournemouth,Premier League,25,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0.0,0.0,0.0,0,8,0,0,63,51,12,2,0,0,2,10,0,0,0,0,0,1,2,2.09,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,0,0,1,0,40,0,0,2,0,0,0,0,7,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Aarons,ENG,MF,Valencia,La Liga,25,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14,18,77.8,222,48,6,7,85.7,6,9,66.7,1,1,100.0,0.0,0.0,0.0,0,1,0,0,18,14,4,0,0,0,2,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,24,0,4,4,16,0,24,2,1,50.0,0,0.0,10,28,10,0,0,1,1,11,0,0,0,0,0,0,0,4,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Abajas,ESP,DF,Valencia,La Liga,22,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,1,0,0.0,1.38,0.0,0.0,0.0,24.5,0,0.07,-0.1,-0.1,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0.0,0.0,0.0,0,0,0,0,29,21,8,0,0,0,1,8,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,2,1,0,2,16,0,2,0,1,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Abankwah,IRL,"DF,MF",Udinese,Serie A,21,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,1,0,0.0,1.02,0.0,0.0,0.0,15.0,0,0.06,-0.1,-0.1,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0.0,0.0,0.0,0,2,0,0,46,45,1,1,0,0,0,0,0,0,0,0,0,0,1,1.02,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,65,8,37,22,7,2,65,0,0,0.0,0,0.0,29,219,165,1,1,1,3,34,0,4,3,0,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,19,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,100.0,41,0,0,0,0.0,2,2,100.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,4,0,3,1,0,0,4,0,0,0.0,0,0.0,1,10,9,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,38,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,2,1,50.0,0.18,0.09,0.0,0.0,10.8,0,0.12,-0.2,-0.2,432,498,86.7,7860,2367,145,157,92.4,259,283,91.5,23,48,47.9,0.1,0.3,-0.1,2,27,0,0,498,456,40,20,0,0,0,1,0,0,0,0,2,1,6,0.55,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,17,11,15,2,0,10,16,62.5,6,24,17,7,13,30,56,1,630,124,405,213,14,7,630,6,3,50.0,3,50.0,319,1723,837,1,0,8,3,390,0,16,6,0,0,0,0,42,19,8,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,26,1999,25,25,2222,24.7,6,1,7,3,3,4,3,0,5.6,2.5,2.9,5.4,86,167,94,0.24,0.04,0.28,0.12,0.16,0.23,0.12,0.35,0.1,0.22,24,6,25.0,0.97,0.24,0.13,0.5,24.1,0,0.1,0.4,0.5,1126,1363,82.6,17293,4685,597,673,88.7,422,486,86.8,63,118,53.4,2.9,2.9,-1.9,32,130,31,2,1363,1263,92,34,20,8,37,13,8,4,2,0,8,25,74,3.0,63,2,3,1,3,2,2,0.08,1,0,1,0,0,0,37,25,8,16,13,13,37,35.1,24,16,0,16,19,56,20,1,1612,22,213,937,492,41,1608,98,44,44.9,52,53.1,946,5987,3399,71,16,43,36,1185,0,38,30,2,0,0,0,137,12,18,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,26,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,291,332,87.7,5339,1686,105,115,91.3,160,175,91.4,19,32,59.4,0.0,0.1,0.0,0,15,1,0,332,313,19,15,0,6,0,2,0,0,0,0,0,1,3,0.44,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,17,12,11,5,1,11,18,61.1,7,6,3,3,13,30,39,1,410,56,199,194,19,1,410,3,1,33.3,2,66.7,200,756,403,0,0,2,2,234,0,4,6,0,0,0,0,31,22,13,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,32,1993,18,11,942,10.5,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.6,27,29,59,0.19,0.19,0.38,0.19,0.38,0.11,0.13,0.24,0.11,0.24,16,5,31.3,1.53,0.48,0.13,0.4,19.8,0,0.07,0.8,0.8,333,450,74.0,5186,1777,175,208,84.1,128,169,75.7,19,41,46.3,1.4,1.2,0.6,13,11,13,3,450,368,78,9,0,2,26,69,0,0,0,0,4,11,29,2.77,20,3,3,2,0,1,2,0.19,1,1,0,0,0,0,25,16,10,9,6,19,31,61.3,12,17,4,13,11,36,28,0,584,39,169,232,187,30,584,16,7,43.8,9,56.3,239,1156,648,9,8,20,10,321,0,16,9,2,0,0,0,45,13,10,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saud Abdulhamid,KSA,DF,Roma,Serie A,26,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.0,0.44,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09,1,0,0.0,0.44,0.0,0.0,0.0,24.7,0,0.03,0.0,0.0,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,0.2,0.2,0.8,2,4,4,2,136,103,33,1,0,0,7,32,0,0,0,0,0,3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,2,2,5,1,108,0,2,5,0,0,1,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
